,name,code,sector,main_product
237,참좋은여행,094850,여행사 및 기타 여행보조 서비스업,여행업
238,칩스앤미디어,094360,소프트웨어 개발 및 공급업,비디오 IP
239,캐스텍코리아,071850,자동차 신품 부품 제조업,자동차용 터보차저 부품
240,케이비제20호스팩,342550,금융 지원 서비스업,금융지원서비스
241,케이씨에스,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라
242,케이피에스,256940,특수 목적용 기계 제조업,OLED 마스크 인장기
243,케이피엠테크,042040,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비"
244,케이피티유,054410,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment"
245,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품
246,코렌,078650,사진장비 및 광학기기 제조업,카메라폰용 렌즈
247,코센,009730,1차 철강 제조업,"스테인리스파이프, 선박용배관제작"
248,코썬바이오,204990,기타 식품 제조업,"건강식품, 수소수기 등"
249,코아스템,166480,의약품 제조업,줄기세포 치료제
250,코위버,056360,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등"
251,코프라,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
252,텔레필드,091440,통신 및 방송 장비 제조업,광전송장비
253,토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등)
254,톱텍,108230,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비
255,트루윈,105550,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)"
256,특수건설,026150,토목 건설업,보링
257,티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제"
258,파마리서치프로덕트,214450,생활용품 도매업,재생의약품
259,파세코,037070,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기"
260,판타지오,032800,창작 및 예술관련 서비스업,교육서비스
261,퓨전,195440,소프트웨어 개발 및 공급업,가상화솔루션 등
262,프럼파스트,035200,플라스틱제품 제조업,주택건설용 플라스틱 배관
263,프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,화장품
264,피델릭스,032580,반도체 제조업,PSRAM 및 LPSDRAM
265,피에스엠씨,024850,전자부품 제조업,리드프레임
266,하나금융15호스팩,341160,금융 지원 서비스업,기업인수합병
267,하이록코리아,013030,1차 철강 제조업,관이음쇠
268,하이즈항공,221840,"항공기,우주선 및 부품 제조업",B787 날개구조물 등
269,한국컴퓨터,054040,전자부품 제조업,LCD Module용 부품
270,한국코퍼레이션,050540,기타 사업지원 서비스업,"CRM서비스,CRM솔루션"
271,한일화학,007770,기초 화학물질 제조업,산화아연
272,한컴MDS,086960,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어"
273,한컴위드,054920,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션
274,한화에이스스팩4호,279410,금융 지원 서비스업,기업인수합병
275,해마로푸드서비스,220630,음·식료품 및 담배 도매업,"햄버거, 치킨, 식음료유통"
276,현대통신,039010,통신 및 방송 장비 제조업,홈오토메이션 제조
277,화이브라더스코리아,204630,창작 및 예술관련 서비스업,창작 및 예술관련 서비스업
278,휴맥스,115160,영상 및 음향기기 제조업,셋톱박스
279,흥국,010240,특수 목적용 기계 제조업,굴삭기 Roller 및 형단조품
280,CJ프론티어,039720,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
281,CT&T,050470,자동차용 엔진 및 자동차 제조업,생활쿠폰 판촉 서비스
282,IDH,026230,특수 목적용 기계 제조업,SLITTER
283,JH코오스,065310,봉제의복 제조업,가방 및 여성의류
284,JS,037110,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","유전체필터, 중계기"
285,SIMPAC Metal,090730,1차 철강 제조업,합금철
286,SK3호스팩,232330,금융 지원 서비스업,기업인수합병
287,광일,023920,,
288,나노하이텍,071360,전자부품 제조업,TFT-LCD BLU
289,나리지*온,036850,반도체 제조업,화합물반도체칩
290,넥서스투자,019430,신탁업 및 집합투자업,벤처캐피탈
291,다다,023140,,수도꼭지
292,다임채권형일,044750,,유가증권등의 매매등을 통한 자산의 투자·운용업무
293,대동금고,007090,,대출이자
294,대백저축은행,026970,,신용금고
295,대신석유,007930,,석유류도매
296,대아건설,000380,,건축
297,대양글로벌,040180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",ERP소프트웨어
298,대흥멀티통신,037250,,방송및업무용영상음향시스템
299,동방라이텍,025690,,"정보통신기기,전구,기계설비 및 주철관"
300,동방전자,004480,,감지기
301,동양기공,018720,,와이퍼
302,동양매직,023020,가정용 기기 제조업,가스기기
303,두림티앤씨,033330,플라스틱제품 제조업,"뱅키드, 베르데, 소펙스, 마이크로 쉐이드."
304,리젠트성장1,036970,,유가증권등의매매등을통한자산의투자·운용업무
305,마이다스자산배분형일,035880,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
306,마이다스테3,040520,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
307,마이다스하전,039920,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
308,모보,051810,절연선 및 케이블 제조업,"전선, 전력케이블"
309,미래아이티1,039220,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
310,미래에셋드림이호펀드,034960,,유가증권등의매매등을통한자산의투자·운용업무
311,미래에셋프리미어혼합,063680,,
312,미래하이3,040270,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
313,보성인터,033300,,패션진의류
314,비락,003700,,
315,산양전기,079870,전자부품 제조업,FPCB및SMT
316,삼덕제지,000550,,
317,삼목강업,158380,자동차 신품 부품 제조업,자동차 서스펜션용 스프링
318,삼성다이나믹증권투자,034260,,유가증권등의매매등을통한자산의투자·운용업무
319,삼협개발,008010,,토목
320,삼호건설,004520,,
321,선우중공업,068770,특수 목적용 기계 제조업,플라스틱사출성형기
322,선팩테크,054010,전자부품 제조업,"DY부품, CONNECTOR"
323,소프트윈,049790,,소프트웨어 도매
324,시큐어소프트,037060,,"침입차단시스템, 침입탐지시스템"
325,신민저축은행,031920,은행 및 저축기관,"대출이자, 예금상품"
326,신원금속,026900,,
327,신한캐피탈,023780,,리스수입
328,쌍용건설,012650,토목 건설업,도급공사
329,쎄라텍,041550,전자부품 제조업,"칩 비드, 칩 비드 어레이, 칩 인덕터, 칩 바리스터, 칩 서지옵서버"
330,씨그널엔터테인먼트그룹,099830,"영화, 비디오물, 방송프로그램 제작 및 배급업",엔터테인먼트
331,씨엔씨엔터,038420,,자동운임징수시스템(AFC)
332,아이스테이션,056010,전자부품 제조업,TFT-LCD 모니터
333,아큐텍,013780,전자부품 제조업,반도체장비(LEADFRAME)
334,액티투오,047710,통신 및 방송 장비 제조업,"RF중계기, 기지국 감시장비"
335,야호,059720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",휴대폰 벨소리 다운로드
336,에이스일렉,038690,전자부품 제조업,다층회로기판(PCB)
337,엔터미디어,068420,영상 및 음향기기 제조업,휴대용 영상노래반주기
338,엠씨티티코어,052210,통신 및 방송 장비 제조업,"xDSL, Ethernet Switch"
339,오브제,058680,봉제의복 제조업,여성 의류
340,유니텍전자,039040,기계장비 및 관련 물품 도매업,"메인보드,VGA카드,Notebook,MP3 Player"
341,유리배분일,037530,,"유가증권의 매매등을 통한 자산의 투자, 운용업무"
342,유리크레디트회사채혼,051990,,유가증권등의 매매등을 통한 자산의 투자·운용업무
343,유진스팩3호,221200,금융 지원 서비스업,기업인수합병
344,으뜸저축은행,032150,,대출금이자
345,이베스트스팩3호,225440,기타 금융업,
346,인베스티움사파이어전,034330,,유가증권등의 매매등을 통한 자산의 투자·운용업무
347,자유투어,046840,여행사 및 기타 여행보조 서비스업,CTI(Computer Telephony Integration)
348,잘만테크,090120,컴퓨터 및 주변장치 제조업,컴퓨터냉각장치(CPU및VGA용쿨러)
349,제이테크놀로지,035480,유원지 및 기타 오락관련 서비스업,카지노
350,제일곡산,011890,,사료
351,지디,155960,전자부품 제조업,디스플레이 패널 식각 서비스
352,청람디지탈,035270,영상 및 음향기기 제조업,위성방송 수신기 및 음향기기
353,카라반케이디이,032570,컴퓨터 및 주변장치 제조업,비접촉식 교통카드시스템 및 전자화페 단말기 제조
354,케이비제8호스팩,222390,금융 지원 서비스업,해당사항 없음
355,케이에스알,066340,통신 및 방송 장비 제조업,생활 및 산업용 무전기
356,케이엔티,036590,,"바이오세라믹시스템, 원형진동막시스템"
357,케이티씨텔레콤,055810,,"휴대폰단말기, 유무선전화기"
358,큐리어스,045050,영상 및 음향기기 제조업,"CNC Controller, TABLET"
359,택산아이엔씨,036900,,"Digital Set Top Box, LCD Monitor"
360,티이씨,067950,특수 목적용 기계 제조업,"LCD 및 반도체 제조용 오븐장비, 세정기"
